timestamp,offset_m,curvature_m,confidence,steering_cmd,throttle_cmd,left_pixels,right_pixels
1775622543.514,-0.0057,80.35,1.00,0.0000,0.000,17831,10125
1775622543.550,-0.0003,142.75,1.00,0.0000,0.000,17841,9422
1775622543.584,0.0018,1443.69,1.00,0.0000,0.000,17988,10231
1775622543.620,-0.0245,545.59,1.00,0.0000,0.000,17889,12492
1775622543.657,-0.0054,227.54,1.00,0.0000,0.000,17709,10010
1775622543.693,0.0006,350.93,1.00,0.0000,0.000,17924,10440
1775622543.741,0.0023,151.04,1.00,0.0000,0.000,18112,9970
1775622543.777,0.0024,393.09,1.00,0.0000,0.000,17880,9841
1775622543.813,0.0026,559.54,1.00,0.0000,0.000,17840,10031
1775622543.848,0.0027,70.64,1.00,0.0000,0.000,17765,9700
1775622543.883,0.0026,87.16,1.00,0.0000,0.000,17805,9775
1775622543.922,0.0025,153.25,1.00,0.0000,0.000,17951,10442
1775622543.963,0.0022,110.22,1.00,0.0000,0.000,17964,9590
1775622543.997,0.0026,70.71,1.00,0.0000,0.000,17947,9716
1775622544.033,0.0026,80.78,1.00,0.0000,0.000,17930,9770
1775622544.068,0.0029,85.02,1.00,0.0000,0.000,17923,10459
1775622544.103,0.0025,111.97,1.00,0.0000,0.000,17941,10156
1775622544.140,0.0024,834.43,1.00,0.0000,0.000,17883,9882
1775622544.184,0.0024,738.81,1.00,0.0000,0.000,18289,10000
1775622544.222,0.0021,86.62,1.00,0.0000,0.000,17942,9656
1775622544.257,0.0027,64.82,1.00,0.0000,0.000,17991,9867
1775622544.293,0.0026,49.73,1.00,0.0000,0.000,17848,9997
1775622544.329,0.0024,849.33,1.00,0.0000,0.000,17968,9729
1775622544.373,0.0022,92.56,1.00,0.0000,0.000,17824,9483
1775622544.407,0.0023,97.73,1.00,0.0000,0.000,17712,9772
1775622544.442,0.0023,1816.92,1.00,0.0000,0.000,17773,10193
1775622544.478,0.0024,187.96,1.00,0.0000,0.000,18130,10000
1775622544.512,0.0027,206.08,1.00,0.0000,0.000,17891,9651
1775622544.547,0.0026,99.23,1.00,0.0000,0.000,17932,9789
1775622544.584,0.0022,220.89,1.00,0.0000,0.000,17959,10105
1775622544.623,0.0026,217.73,1.00,0.0000,0.000,17985,9753
1775622544.657,0.0022,60.47,1.00,0.0000,0.000,18298,9867
1775622544.692,0.0029,533.01,1.00,0.0000,0.000,18001,10050
1775622544.727,0.0023,354.13,1.00,0.0000,0.000,17746,10022
1775622544.762,0.0024,207.79,1.00,0.0000,0.000,17928,10431
1775622544.799,0.0027,320.69,1.00,0.0000,0.000,18179,10120
1775622544.837,0.0025,63.60,1.00,0.0000,0.000,17946,9859
1775622544.873,-0.0245,98.35,1.00,0.0000,0.000,17806,12586
1775622544.908,-0.0054,291.94,1.00,0.0000,0.000,17811,10121
1775622544.942,-0.0002,94.94,1.00,0.0000,0.000,17801,9341
1775622544.976,0.0018,103.32,1.00,0.0000,0.000,17870,10214
1775622545.011,0.0028,66.95,1.00,0.0000,0.000,17691,10293
1775622545.057,0.0024,659.42,1.00,0.0000,0.000,17995,10047
1775622545.093,0.0029,125.16,1.00,0.0000,0.000,17992,9949
1775622545.128,0.0029,142.29,1.00,0.0000,0.000,17981,10088
1775622545.163,0.0027,177.48,1.00,0.0000,0.000,17849,10324
1775622545.198,0.0025,90.62,1.00,0.0000,0.000,17936,9636
1775622545.245,0.0026,143.16,1.00,0.0000,0.000,17913,10101
1775622545.280,0.0025,93.54,1.00,0.0000,0.000,18062,10084
1775622545.316,0.0029,166.58,1.00,0.0000,0.000,17960,10234
1775622545.352,0.0027,150.69,1.00,0.0000,0.000,18104,10305
1775622545.388,0.0022,1770.22,1.00,0.0000,0.000,17959,10308
1775622545.425,0.0024,200.24,1.00,0.0000,0.000,17923,9643
1775622545.460,0.0021,167.06,1.00,0.0000,0.000,17956,9951
1775622545.498,0.0022,109.24,1.00,0.0000,0.000,18012,9515
1775622545.533,0.0027,66.49,1.00,0.0000,0.000,17958,9586
1775622545.568,0.0024,96.78,1.00,0.0000,0.000,17756,9868
1775622545.603,0.0023,131.00,1.00,0.0000,0.000,18079,9945
1775622545.638,0.0028,153.15,1.00,0.0000,0.000,17971,9815
1775622545.687,0.0028,120.50,1.00,0.0000,0.000,17854,9720
1775622545.722,0.0023,107.82,1.00,0.0000,0.000,17821,10061
1775622545.760,0.0023,70.31,1.00,0.0000,0.000,17980,10048
1775622545.800,-0.0245,128.85,1.00,0.0000,0.000,17902,12421
1775622545.839,-0.0055,165.54,1.00,0.0000,0.000,17875,10436
1775622545.877,0.0000,107.00,1.00,0.0000,0.000,17920,9566
1775622545.929,0.0017,128.55,1.00,0.0000,0.000,17847,9757
1775622545.964,0.0021,86.45,1.00,0.0000,0.000,17915,9765
1775622545.999,0.0026,82.85,1.00,0.0000,0.000,17859,10000
1775622546.037,0.0028,65.80,1.00,0.0000,0.000,17759,10169
1775622546.073,0.0024,95.15,1.00,0.0000,0.000,17875,9893
1775622546.108,0.0029,73.56,1.00,0.0000,0.000,17962,10102
1775622546.157,0.0029,126.66,1.00,0.0000,0.000,17936,10185
1775622546.191,0.0027,67.67,1.00,0.0000,0.000,17979,9298
1775622546.226,0.0023,53.61,1.00,0.0000,0.000,18460,9892
